NombreLeccion,CanalYouTube,UrlYouTube,CursoNombre,CursoUrl,CursoId,LeccionId
Funcionamiento de las redes inalámbricas,AREATECNOLOGIA,https://youtube.com/watch?v=XK5W1nq3WnY,Fundamentos en Ciencias de la Computación,https://edutin.com/curso-de-introduccion-a-la-computacion-4164,4164,92882
Metodología Waterfall (cascada),Areli Meneses,https://youtube.com/watch?v=7cxkWDHvQ7Y,Diplomado en Microsoft Project,https://edutin.com/curso-de-project,1920,142506
Abrir Adobe Illustrator,Aries Academia Creativa,https://youtube.com/watch?v=yNm4NkVmecI,Editor de Gráficos Vectoriales con Adobe Illustrator,https://edutin.com/curso-de-illustrator-3738,3738,111160
Renderizado,ARKADIS Architecture & Design Center,https://youtube.com/watch?v=OAlBBxFQdXs,Diplomado en Revit,https://edutin.com/curso-de-revit-4334,4334,104318
Realizar copias de seguridad antes de la actualización,Armando Gonzalez,https://youtube.com/watch?v=V6-dysgGGtw,CentOS 7,https://edutin.com/curso-de-centos-7-3841,3841,158683
Rutas de familia,arqMANES,https://youtube.com/watch?v=Ww1DqkyXwmU,Diplomado en Revit,https://edutin.com/curso-de-revit-4334,4334,104269
Suelos o forjados,arqMANES,https://youtube.com/watch?v=yqRC6P1aEoc,Diplomado en Revit,https://edutin.com/curso-de-revit-4334,4334,104400
Concepto arquitectónico,ArquiSEJOS,https://youtube.com/watch?v=MY3RVBBxI4A,Diplomado en ArchiCAD,https://edutin.com/curso-de-archicad-4346,4346,144391
Topografía (Importar curvas de nivel desde Autocad),Arquitectura a otro Nivel,https://youtube.com/watch?v=5ScrG-RiWpA,Diplomado en Revit,https://edutin.com/curso-de-revit-4334,4334,104387
Topografía en ArchiCAD,Arsheet,https://youtube.com/watch?v=Vy9SjAxvyWY,Diplomado en ArchiCAD,https://edutin.com/curso-de-archicad-4346,4346,144414
Conceptos básicos de los sistemas operativos de servidor,Arsys,https://youtube.com/watch?v=WqMNDI-VN6A,Diplomado en configuración y aplicación de Nano Server para contenedores,https://edutin.com/curso-de-nano-server-3836,3836,158124
Elementos del arte: valores,Arte Divierte,https://youtube.com/watch?v=RITHqhhtZbE,Editor de Gráficos Vectoriales con Adobe Illustrator,https://edutin.com/curso-de-illustrator-3738,3738,111111
Conceptos básicos de la fotografía,ARTENGLISHROOM,https://youtube.com/watch?v=MF0241H_7To,Diplomado en Fotografía profesional,https://edutin.com/curso-de-fotografia-4300,4300,100861
Un millón de kilómetros de cable para conectar al mundo,aTech ES,https://youtube.com/watch?v=A5ynf0sV9D4,Fundamentos Profesionales en Redes de Computadoras,https://edutin.com/curso-de-redes-4158,4158,93904
Tendencias en la retroalimentación de CRM aplicada a procesos de ventas,Attitude Academy,https://youtube.com/watch?v=vCtjkMw4K7Y,Diplomado en CRM,https://edutin.com/curso-de-crm-2741,2741,107118
Cómo diseñar un volante,Augusto Brozoski,https://youtube.com/watch?v=vLqCLtqWfUY,Diplomado en Modelado con Catia,https://edutin.com/curso-de-catia-2016,2016,109967
Insertar líneas y curvas,Aula en la nube,https://youtube.com/watch?v=_PDUEpJUcUY,Google Drive,https://edutin.com/curso-de-drive-3988,3988,141526
Insertar gráficos,Aula en la nube,https://youtube.com/watch?v=-lcv_nah71w,Google Drive,https://edutin.com/curso-de-drive-3988,3988,141514
Realizar filtros,Aula en la nube,https://youtube.com/watch?v=-m2d2MKh8jM,Google Drive,https://edutin.com/curso-de-drive-3988,3988,141552
"Abrir, crear y exportar documentos",Aula en la nube,https://youtube.com/watch?v=2ZHf9JrG-sE,Google Drive,https://edutin.com/curso-de-drive-3988,3988,141505
"Abrir, crear y exportar presentaciones",Aula en la nube,https://youtube.com/watch?v=3GGiGfAoTb8,Google Drive,https://edutin.com/curso-de-drive-3988,3988,141521
Crear formulario,Aula en la nube,https://youtube.com/watch?v=7lqFn-_u7Pc,Google Drive,https://edutin.com/curso-de-drive-3988,3988,141559
"Inmovilizar, ocultar y agrupar celdas, filas y columnas",Aula en la nube,https://youtube.com/watch?v=8DAb-vnC6sU,Google Drive,https://edutin.com/curso-de-drive-3988,3988,141547
Series de datos,Aula en la nube,https://youtube.com/watch?v=aJRY-q5PwWI,Google Drive,https://edutin.com/curso-de-drive-3988,3988,141545
Importar datos,Aula en la nube,https://youtube.com/watch?v=b8BYseZnKiM,Google Drive,https://edutin.com/curso-de-drive-3988,3988,141550
Insertar y ajustar formas,Aula en la nube,https://youtube.com/watch?v=e42AnxL-jlc,Google Drive,https://edutin.com/curso-de-drive-3988,3988,141512
Personalizar formularios,Aula en la nube,https://youtube.com/watch?v=EL_h_390i3o,Google Drive,https://edutin.com/curso-de-drive-3988,3988,141564
Insertar ecuaciones y fórmulas,Aula en la nube,https://youtube.com/watch?v=EmiSpG6Wx30,Google Drive,https://edutin.com/curso-de-drive-3988,3988,141513
Realizar y enviar encuestas,Aula en la nube,https://youtube.com/watch?v=EWSnX7utGzM,Google Drive,https://edutin.com/curso-de-drive-3988,3988,141560
Insertar y ver notas y comentarios,Aula en la nube,https://youtube.com/watch?v=flXqk2ZlF4E,Google Drive,https://edutin.com/curso-de-drive-3988,3988,141557
Uso del teclado y caracteres,Aula en la nube,https://youtube.com/watch?v=Lls0tQSFdeQ,Google Drive,https://edutin.com/curso-de-drive-3988,3988,141507
Formato de celdas,Aula en la nube,https://youtube.com/watch?v=NC77eEt9LHg,Google Drive,https://edutin.com/curso-de-drive-3988,3988,141546
Formato de página,Aula en la nube,https://youtube.com/watch?v=SsMykDf4z-Q,Google Drive,https://edutin.com/curso-de-drive-3988,3988,141509
Publicar calificaciones y comentarios,Aula en la nube,https://youtube.com/watch?v=u6IjQgmJ1l0,Google Drive,https://edutin.com/curso-de-drive-3988,3988,141566
Insertar formas y figuras,Aula en la nube,https://youtube.com/watch?v=wxXVKzXx6c8,Google Drive,https://edutin.com/curso-de-drive-3988,3988,141525
Interfaz de Sheets,Aula en la nube,https://youtube.com/watch?v=Z2VMC7p5J2Q,Google Drive,https://edutin.com/curso-de-drive-3988,3988,141536
Compartir y edición en grupo,Aula en la nube,https://youtube.com/watch?v=zX2fyDOxhno,Google Drive,https://edutin.com/curso-de-drive-3988,3988,141518
Compartir y edición en grupo,Aula en la nube,https://youtube.com/watch?v=zX2fyDOxhno,Google Drive,https://edutin.com/curso-de-drive-3988,3988,141558
Viñetas y numeración,Aula24Exactas,https://youtube.com/watch?v=jipkeMwGvl0,Diplomado en Microsoft PowerPoint,https://edutin.com/curso-de-powerpoint,546,146534
Gestión de archivos,aulaclic,https://youtube.com/watch?v=IhC3DCzhFe4,Google Drive,https://edutin.com/curso-de-drive-3988,3988,141476
"Crear, abrir, buscar y ver detalles de archivos",aulaclic,https://youtube.com/watch?v=Il3OReecLw8,Google Drive,https://edutin.com/curso-de-drive-3988,3988,141479
Insertar tablas,aulaclic,https://youtube.com/watch?v=jtUTmjiXY60,Google Drive,https://edutin.com/curso-de-drive-3988,3988,141515
Tema y diseño de diapositivas,aulaclic,https://youtube.com/watch?v=jv7NzXQniq0,Diplomado en Microsoft PowerPoint,https://edutin.com/curso-de-powerpoint,546,146551
Administración de archivos,aulaclic,https://youtube.com/watch?v=kVih0FcnenM,Diplomado en Sistema Operativo Windows,https://edutin.com/curso-de-windows,3581,147192
"Copiar, mover, renombrar, destacar y borrar archivos",aulaclic,https://youtube.com/watch?v=XDcTYJLs9XU,Google Drive,https://edutin.com/curso-de-drive-3988,3988,141480
Formato de párrafo,aulaclic,https://youtube.com/watch?v=YkoT_Sn-U58,Google Drive,https://edutin.com/curso-de-drive-3988,3988,141508
Concepto de Revit,Autodesk Building Solutions,https://youtube.com/watch?v=_qqT9j0rzuk,Diplomado en Revit,https://edutin.com/curso-de-revit-4334,4334,104254
Fotografía de producto,Bacánika,https://youtube.com/watch?v=k9CkNFKXVnk,Diplomado en Fotografía profesional,https://edutin.com/curso-de-fotografia-4300,4300,100903
Post-Explotación con meterpreter,Backtrack Academy,https://youtube.com/watch?v=HYjo1ui0EFw,Diplomado en Pentest,https://edutin.com/curso-de-pentest-4369,4369,109051
Código en lenguaje C vs código en lenguaje maquina,Ben Eater,https://youtube.com/watch?v=yOyaJXpAYZQ,Desarrollador de Algoritmos,https://edutin.com/curso-de-programacion-c,4163,93406
Cómo diseñar el núcleo de la hélice,Benjamín Miranda Tamayo,https://youtube.com/watch?v=_S4wUSQ5-54,Diplomado en Modelado con Catia,https://edutin.com/curso-de-catia-2016,2016,109927
Cómo diseñar la bieleta,Benjamín Miranda Tamayo,https://youtube.com/watch?v=433s0b1ioMU,Diplomado en Modelado con Catia,https://edutin.com/curso-de-catia-2016,2016,109925
Diseñar motor radial,Benjamín Miranda Tamayo,https://youtube.com/watch?v=4r1jVitkQwk,Diplomado en Modelado con Catia,https://edutin.com/curso-de-catia-2016,2016,109921
